day,date,quantity,cumulative
584,6/17/2022,2,1116
585,6/18/2022,2,1118
586,6/19/2022,1,1119
587,6/20/2022,2,1121
588,6/21/2022,2,1123
589,6/22/2022,2,1125
590,6/23/2022,2,1127
591,6/24/2022,2,1129
592,6/25/2022,2,1131
593,6/26/2022,2,1133
594,6/27/2022,2,1135
595,6/28/2022,2,1137
596,6/29/2022,1,1138
597,6/30/2022,1,1139
598,7/1/2022,1,1140
599,7/2/2022,2,1142
600,7/3/2022,2,1144
601,7/4/2022,2,1146
602,7/5/2022,2,1148
603,7/6/2022,1,1149
604,7/7/2022,2,1151
605,7/8/2022,2,1153
606,7/9/2022,2,1155
607,7/10/2022,2,1157
608,7/11/2022,2,1159
609,7/12/2022,1,1160
610,7/13/2022,1,1161
611,7/14/2022,1,1162
612,7/15/2022,1,1163
613,7/16/2022,1,1164
614,7/17/2022,1,1165
615,7/18/2022,1,1166
616,7/19/2022,1,1167
617,7/20/2022,0,1167
618,7/21/2022,1,1168
619,7/22/2022,1,1169
620,7/23/2022,1,1170
621,7/24/2022,1,1171
622,7/25/2022,1,1172
623,7/26/2022,1,1173
624,7/27/2022,0,1173
625,7/28/2022,1,1174
626,7/29/2022,1,1175
627,7/30/2022,1,1176
628,7/31/2022,1,1177
629,8/1/2022,1,1178
630,8/2/2022,1,1179
631,8/3/2022,1,1180
632,8/4/2022,1,1181
633,8/5/2022,0,1181
634,8/6/2022,1,1182
635,8/7/2022,1,1183
636,8/8/2022,1,1184
637,8/9/2022,1,1185
638,8/10/2022,1,1186
639,8/11/2022,1,1187
640,8/12/2022,1,1188
641,8/13/2022,1,1189
642,8/14/2022,1,1190
643,8/15/2022,1,1191
644,8/16/2022,0,1191
645,8/17/2022,1,1192
646,8/18/2022,1,1193
647,8/19/2022,1,1194
648,8/20/2022,1,1195
649,8/21/2022,0,1195
650,8/22/2022,1,1196
651,8/23/2022,1,1197
652,8/24/2022,1,1198
653,8/25/2022,0,1198
654,8/26/2022,1,1199
655,8/27/2022,1,1200
656,8/28/2022,0,1200
657,8/29/2022,1,1201
658,8/30/2022,0,1201
659,8/31/2022,1,1202
660,9/1/2022,1,1203
661,9/2/2022,0,1203
662,9/3/2022,1,1204
663,9/4/2022,1,1205
664,9/5/2022,0,1205
665,9/6/2022,1,1206
